,小区名,所属区,所属镇,街道,起步价格,户型,面积,特点
0,大名城映玥,浦东,临港新城,海洋六路900弄,32022,"3室                                                                                                                        
                                                                                        ",84-96㎡,在售住宅郊环外低容积南北通透装修交付厨卫全明
1,龙光·天曜,浦东,临港新城,方竹路1188弄,32488,"3室/4室/别墅                                                                                                                        
                                                                                        ",85-133㎡,待售住宅一房一价第六批集中入市刚需直选南汇新城临港自贸区
2,融创未来金融城,浦东,唐镇,华东路5888号、夏榕路58弄、玉盘南路7...,68000,"3室/4室                                                                                                                        
                                                                                        ",88-148㎡,待售住宅一房一价第六批集中入市外郊环轨交房装修交付
3,中建御湖澜庭,浦东,临港新城,竹柏路777弄,33000,"2室/3室                                                                                                                        
                                                                                        ",74-115㎡,待售住宅一房一价第六批集中入市郊环外装修交付大户型
4,中建·玖里书香,浦东,临港新城,东大公路与崇实路交叉口,28690,"2室/3室                                                                                                                        
                                                                                        ",60-99㎡,在售住宅一房一价刚需直选南汇新城小户型装修交付
5,华侨城纯水岸,浦东,唐镇,德淳路100弄,70620,"3室/4室                                                                                                                        
                                                                                        ",98-150㎡,待售住宅一房一价第六批集中入市外郊环大户型装修交付
6,悦城,浦东,临港新城,麦冬路88弄,33200,"3室/4室                                                                                                                        
                                                                                        ",87-143㎡,待售住宅一房一价第六批集中入市郊环外大户型南北通透
7,浦东·紫薇花园,浦东,外高桥,行南路359号（近张杨北路）,67600,"1室/2室/3室/4室                                                                                                                        
                                                                                        ",64-146㎡,待售住宅一房一价认筹中第六批集中入市南北通透中外环
8,港城悦庭,浦东,临港新城,方竹路566弄,30000,"2室/3室                                                                                                                        
                                                                                        ",73-92㎡,在售住宅一房一价郊环外装修交付大型社区南北通透
9,中企海睿滨江,浦东,陆家嘴滨江,昌邑路2020弄,105000,"3室/4室                                                                                                                        
                                                                                        ",140-210㎡,待售住宅第六批集中入市内环内小型社区装修交付大户型
10,远洋红星·临港天铂,浦东,临港新城,夏栎路518弄、588弄,33000,"3室/4室                                                                                                                        
                                                                                        ",90-130㎡,待售住宅一房一价第六批集中入市外郊环装修交付低容积
11,悦达·悦珑湾,浦东,临港新城,麦冬路555弄,33000,"1室/2室/3室                                                                                                                        
                                                                                        ",53.5-91㎡,待售住宅一房一价第六批集中入市郊环外装修交付低容积
12,海上溪云,浦东,康桥,秀沿路58弄,67725,"3室                                                                                                                        
                                                                                        ",90㎡,待售住宅一房一价第六批集中入市绿色住宅改善置业品质好房
13,海玥瑄邸,浦东,惠南,项文路333弄,550,"2室/3室/4室/别墅                                                                                                                        
                                                                                        ",81-190㎡,在售别墅项目在建外郊环装修交付低容积大型社区
14,浦江壹号,浦东,前滩,东至高青西路，南至晓会路，西至芋秋路...,96954,"2室/3室                                                                                                                        
                                                                                        ",174-220㎡,待售住宅内中环公园前滩辐射区大户型品牌开发商
15,金鼎·首府,浦东,金桥,轲桥路101弄,49699,"2室/3室/4室                                                                                                                        
                                                                                        ",90-160㎡,待售住宅改善置业低容积品质好房绿色住宅花园洋房
16,浦发仁恒·珊瑚世纪,浦东,康桥,康涵路188弄,80625,"2室/3室/4室                                                                                                                        
                                                                                        ",89-190㎡,待售住宅一房一价第六批集中入市项目在建外郊环装修交付
17,鹏瑞·云璟湾,浦东,临港新城,海洋五路666弄,31431,"3室/4室                                                                                                                        
                                                                                        ",87-118㎡,待售住宅绿色住宅人车分流临港自贸区河景地产装修交付
18,汤臣金桥花园,浦东,金桥,东至金科路，南至张家浜，西至云山路、...,100727,,427347㎡,待售住宅内中环轨交房品牌开发商
19,特发·学府里,浦东,临港新城,申港大道与沪城环路交界处,32118,"2室/3室/4室                                                                                                                        
                                                                                        ",76-115㎡,在售住宅一房一价南汇新城VR看房装修交付南北通透
20,保利云上拾光,浦东,川沙,宝溪路18弄（南六公路近鹿吉路）,45000,"2室/3室/别墅                                                                                                                        
                                                                                        ",74-125㎡,在售住宅一房一价外郊环装修交付VR看房热评楼盘
21,中建玖海云天,浦东,临港新城,海港大道与美人蕉路交叉口,35000,"3室/4室                                                                                                                        
                                                                                        ",93-143㎡,待售住宅品质好房临港自贸区刚需直选南汇新城大型社区
22,滨江一品苑,浦东,陆家嘴滨江,浦逸路188号（近浦润路）,111870,"3室/4室/5室                                                                                                                        
                                                                                        ",134-234㎡,在售住宅一房一价项目在建内环内装修交付购物中心
23,东方颐城,浦东,临港新城,丽正路99弄,26885,"别墅                                                                                                                        
                                                                                        ",117-190㎡,待售住宅认筹中临港自贸区绿色住宅叠加联排
24,琉森公馆,浦东,周康,周邓公路5333号(近康新公路),28000,,71-139㎡,在售标准写字楼外郊环医院迪士尼VR看房低单价
25,东郊壹号,浦东,张江,银柳路58弄,31500,"别墅                                                                                                                        
                                                                                        ",505-670㎡,在售别墅大户型内中环低容积高绿化率小型社区
26,天健滨江天地,浦东,塘桥,东方路3465弄1号,56000,,56-66㎡,在售标准写字楼内环内购物中心商业街医院学校
27,合生东郊别墅,浦东,张江,翠柏路919弄,25000,"别墅                                                                                                                        
                                                                                        ",731.72-1094.3㎡,在售别墅大户型内中环低容积高绿化率小型社区
28,海滨时代大厦,浦东,临港新城,港辉路372号,22000,,53.45㎡,在售标准写字楼临港自贸区外郊环VR看房低单价品牌开发商
29,太平洋中环广场,浦东,康桥,御秀路御衡路交叉口西南侧,80000,,53754㎡,在售购物中心项目在建中外环品牌开发商
30,天和广场,浦东,祝桥,百熙路668号,47000,,77359㎡,在售购物中心项目在建外郊环配套纯熟便利店公园
31,君领国际,浦东,周康,周浦镇周市路428号,120000,,36159㎡,在售临街店铺郊环外装修交付小型社区配套纯熟公园
32,绿地·华创中心,浦东,张江,卓远路200弄,38000,,96279㎡,在售标准写字楼办公首选项目在建中外环品牌开发商
33,创新晶体,浦东,临港新城,海基五路与海洋一路交叉口西150米,35878,,146802㎡,待售标准写字楼郊环外品牌开发商
34,梧桐国际,浦东,周康,忘忧路135弄,30000,,87000㎡,在售标准写字楼郊环外车位充足低单价品牌开发商
35,复地万科活力中心,浦东,北蔡,沪南路2157弄2号,38000,,238600㎡,在售标准写字楼中外环商业街银行金牌物业多轨交
36,绿都·绣云里,浦东,川沙,崇溪路111弄,60000,,70㎡,在售商业街项目封顶外郊环大型社区公园医院
37,颐景园·江南院,浦东,临港新城,顺荣路299弄,23597,"3室/别墅                                                                                                                        
                                                                                        ",120-170㎡,待售别墅联排花园洋房金牌物业低容积项目在建
38,浦发虹湾,浦东,唐镇,东横港与虹昌路交汇处,69310,"3室/4室                                                                                                                        
                                                                                        ",90-145㎡,待售住宅外郊环大户型低容积品牌开发商
39,森兰名苑,浦东,外高桥,张杨北路东靖路交叉口,57937,"3室                                                                                                                        
                                                                                        ",105-110㎡,待售住宅绿色住宅改善置业高性价比环沪精选品质好房
40,中锦鑫座,浦东,惠南,拱极路2626弄42号,28500,,103118㎡,在售标准写字楼郊环外银行车位充足装修交付地铁沿线
41,昊·梦想谷,浦东,祝桥,百熙路5号,45000,,108459㎡,在售商务园区外郊环小型社区学校银行公园
42,亲水湾朗廷,浦东,康桥,御秀路878弄,64350,"3室                                                                                                                        
                                                                                        ",93-103㎡,待售住宅一房一价第六批集中入市中外环小型社区低容积
43,恒大小区,浦东,浦东世博,成山路544、608弄,68000,"1室/2室                                                                                                                        
                                                                                        ",47-86㎡,待售住宅一房一价第六批集中入市内中环低容积多轨交
44,浦开江南里,浦东,张江,科苑路与龙东大道交汇处,83927,"别墅                                                                                                                        
                                                                                        ",190-350㎡,待售别墅内中环大户型低容积品牌开发商
45,大名城映晖,浦东,临港新城,海洋一路海基一路交汇处（临港科技广场...,32022,"3室/4室                                                                                                                        
                                                                                        ",95-121㎡,在售住宅一房一价低容积郊环外项目在建南北通透
46,中房晶华公馆,浦东,三林,浦东新区三林路1515号（近东明路）,75000,,19044㎡,在售标准写字楼中外环小型社区多轨交前滩辐射区品牌开发商
47,安盛街商铺,浦东,三林,安盛街365号,73800,,8000㎡,在售临街店铺中外环装修交付小型社区轨交房品牌开发商
48,浦发唐城,浦东,唐镇,东至华东路，西至中心河/顾唐路，南至...,69310,"3室/4室                                                                                                                        
                                                                                        ",85-150㎡,待售住宅外郊环地块规划轨交房大户型品牌开发商
49,森兰美奂,浦东,外高桥,启帆路515号（近地铁6号线洲海路站）,35000,,180-571.77㎡,在售标准写字楼中外环装修交付学校5A写字楼轨交房
50,远洋财富中心商铺,浦东,外高桥,台中南路68号,60000,,60000㎡,在售临街店铺外郊环便利店医院银行轨交房
51,森兰海天名筑,浦东,祝桥,航亭环路与卫亭路交汇处,38321,"3室/4室                                                                                                                        
                                                                                        ",88-122㎡,待售住宅外郊环项目在建低容积大户型品牌开发商
52,恒越华鼎广场,浦东,三林,海阳路上南路口,100000,,50054㎡,在售临街店铺内中环配套纯熟医院商业街购物中心
53,中金海棠湾商铺,浦东,周康,周浦镇周祝公路80-102号，瑞建路174-1...,55000,,240187㎡,在售社区底商外郊环小型社区品牌开发商
54,汇福大玥城,浦东,周康,周泰路87号,45700,,139000㎡,在售临街店铺沿街商铺外郊环学校小型社区低单价
55,君领国际写字楼,浦东,周康,周浦镇周市路428号,29000,,36159㎡,在售标准写字楼郊环外小型社区配套纯熟公园医院
56,世联MINI SPACE,浦东,张江,祖冲之路2288号2号楼,36000,,45000㎡,在售标准写字楼外郊环小型社区轨交房品牌开发商
57,星创城,浦东,惠南,拱北路111弄(近观海路),15500,,59131㎡,在售标准写字楼外郊环低单价品牌开发商
58,远洋财富中心,浦东,外高桥,台中南路68号（近加枫路）,35000,,59990㎡,在售标准写字楼中外环医院银行便利店轨交房
59,上海君御公馆,浦东,惠南,拱极路2223弄,32419,"3室/4室                                                                                                                        
                                                                                        ",90-140㎡,待售住宅一房一价项目在建外郊环低容积南北通透
